var_uu,var_vv,var_ww,y_plus
-0.05345212176436246,-0.04323927130162306,0.0097944057545283,2.02e-14
-0.05229014403478235,-0.04311488988067921,0.010608260452106192,0.0105
-0.04901002330314553,-0.0427766079261761,0.012815817157781122,0.039
-0.04232847742660953,-0.04213653189966282,0.016969451196427232,0.0927
-0.03021913420832477,-0.04110054099386378,0.023628598096911955,0.179
-0.009502486136367675,-0.039571719656266824,0.03331554943443952,0.305
0.024814021728724545,-0.03744119934189556,0.04654712870440172,0.478
0.08041961293806779,-0.03457780311902552,0.06386374775473644,0.706
0.16485473937228337,-0.030974940271841243,0.08494069708215987,0.986
0.2888546932155464,-0.02655265513348653,0.1098098871325672,1.32
0.46073363457161026,-0.02135648482014158,0.13774352015161506,1.7
0.6947684015121541,-0.015265014301076164,0.1688896496346058,2.13
1.0056035034468258,-0.008199875581644546,0.2030768009278804,2.61
1.3919548397073729,8.301858973828839e-5,0.240805189239517,3.15
1.823045833286071,0.009374094968387077,0.2804647851132973,3.73
2.318109460266696,0.02010065617325865,0.3231892109056616,4.37
2.8663901879177107,0.03204292289524876,0.36739076874319365,5.05
3.489126195551405,0.04567728406313888,0.4140956767031425,5.79
4.174946492019569,0.06076889427273007,0.46174920258194285,6.57
4.8799345595840276,0.0778480887933041,0.5112595260906042,7.41
5.511564060095418,0.09666009609489165,0.5611155147824602,8.29
6.060163586954074,0.11756357865225751,0.6115666852634181,9.22
6.506022972184096,0.14072803003521678,0.6622421737476569,10.2
6.82110291709948,0.16556808291618771,0.7113199193298982,11.2
7.00449914315765,0.19429547494286553,0.7622348468350755,12.3
7.080174523320923,0.22331812411007945,0.8102127453448577,13.4
7.112001431125943,0.2539759644431616,0.8595216921581382,14.6
7.090894719063387,0.2835869545302995,0.9056682958405439,15.8
7.008294994686722,0.314484185701324,0.9520918334494894,17.1
6.863571785882138,0.34415282179203893,0.9948040100228945,18.4
6.638240646477929,0.3747296697111608,1.0366511632811348,19.8
6.381638680134957,0.40388163812885824,1.0741940161667956,21.2
6.13454359806755,0.43160872704513165,1.107432568679877,22.6
5.880348598556222,0.4597351422535888,1.1382688477447291,24.1
5.621236384623424,0.48793374305237225,1.1657146211329543,25.7
5.3745413256627925,0.5142712767472547,1.1875384511774019,27.3
5.140263421674325,0.5387477433382359,1.2037403378780724,28.9
4.9037908181814025,0.5627148120495746,1.2167925735254865,30.6
4.6790203265202,0.5845809104756498,1.2274935860315672,32.3
4.4537829382110745,0.6054432650726087,1.2362613179946838,34.1
4.241664872509137,0.6239502066161926,1.2423930766090394,35.9
4.042666129414386,0.6401017351064019,1.2458888618746333,37.7
3.84684474595149,0.6545952383637793,1.2467191517781628,39.6
3.6656408793441315,0.6664643462129212,1.2446124466850785,41.5
3.490691744338214,0.6761229245327607,1.239221931493801,43.5
3.3319393039090706,0.682873585502755,1.230577128217633,45.5
3.189383558056701,0.6867163291229036,1.218678036856574,47.5
3.057131717449966,0.6876215638762886,1.2026815633760994,49.6
2.9427367326141236,0.6853208197514692,1.1830972372820328,51.7
2.834720356176363,0.6811942360268637,1.160840492375714,53.9
2.736226573196053,0.677186271496666,1.1398557195949124,56.0
2.633521988362474,0.6727193200603895,1.1171641196448774,58.3
2.5403399969863476,0.6683709878185202,1.0957444918203585,60.5
2.44820950894257,0.6637459718399789,1.0736495972282176,62.8
2.3578354640171284,0.6588337344886145,1.0509192162256475,65.2
2.2767490326204762,0.6540436288770413,1.0294475472295292,67.5
2.197899220718123,0.648959124082513,1.0073674885880262,69.9
2.124934123550963,0.6437866529340286,0.985619509450047,72.3
2.0551864316673,0.6383051215435969,0.9633184872506037,74.8
1.991824063932068,0.6327281405503482,0.9413777943735601,77.3
1.934847020345266,0.6270557099542826,0.9197974308189164,79.8
1.881527550647287,0.6212878297554001,0.8985773965866721,82.3
1.8270616590672613,0.615187981409894,0.8768907983303402,84.9
1.7736014647245943,0.6089848947739811,0.8555939322691155,87.5
1.7211469676192874,0.6026785698476615,0.8346867984029986,90.1
1.667739451946809,0.5960204232573324,0.8133880490118526,92.8
1.6154164825554478,0.5892509442502777,0.7925095877423539,95.5
1.5641780594452035,0.5823701328264973,0.7720514145945022,98.2
1.5121874596716989,0.575116882624499,0.75127945705526,101.0
1.457777560120526,0.5672126772752367,0.7295253666799952,104.0
1.4222481526564499,0.5618668473601417,0.7153109032210717,106.0
1.370069829815394,0.5537335629641189,0.6944216032195664,109.0
1.3192304530004086,0.5454628311400397,0.6740511774423166,112.0
1.2699090056270104,0.537054651887904,0.6541996258893226,115.0
1.2222844711107173,0.528509025207712,0.6348669485605842,118.0
1.1763568494515293,0.5198259510994637,0.6160531454561013,121.0
1.1466811643771289,0.5139608753450446,0.6037988735110328,123.0
1.103581730813116,0.5050487221900356,0.5858498607803097,126.0
1.0621792101062082,0.49599912160697024,0.5684197222738421,129.0
1.0224736022564054,0.48681207359584844,0.5515084579916301,132.0
0.9844649072637076,0.4774875781566702,0.5351160679336737,135.0
0.9481531251281148,0.46802563528943575,0.5192425520999733,138.0
0.9135382558496274,0.45842624499414475,0.5038879104905283,141.0
0.8806202994282447,0.4486894072707974,0.48905214310533907,144.0
0.8493992558639671,0.4388151221193937,0.4747352499444054,147.0
0.8198751251567947,0.4288033895399336,0.46093723100772754,150.0
0.7920479073067273,0.4186542095324172,0.44765808629530535,153.0
0.7659176023137649,0.4083675820968443,0.4348978158071387,156.0
0.7414842101779077,0.39794350723321503,0.42265641954322775,159.0
0.7187477308991553,0.38738198494152953,0.41093389750357256,162.0
