y_plus,uu_yhat,vv_yhat,ww_yhat,uu_y,vv_y,ww_y
2120,1.553333333,1.553333333,1.553333333,2.586800258,0.892529149,1.194247639
4620,0.627333333,0.627333333,0.627333333,0.873362142,0.49548108,0.516195575
460,0.560666667,0.560666667,0.560666667,0.817621093,0.44564919,0.474497777
156,3.086666668,3.086666662,3.086666663,5.566404537,1.274588421,2.45282362
4290,0.7,0.7,0.7,1.008127222,0.527764587,0.560987074
4750,0.608666667,0.608666667,0.608666667,0.835865341,0.484444085,0.503191041
40.7,3.18,3.179999994,3.179999994,6.138206072,0.949682474,2.413987673
785,2.42,2.42,2.42,4.314406595,1.190272309,1.777342651
62.9,3.326666679,3.326666622,3.326666634,6.046962911,1.203594486,2.701403982
0.387,0.012666307,0.007498514,0.008031488,0.029981764,-0.038354524,0.006431935
4850,0.596666667,0.596666667,0.596666667,0.813018754,0.476600531,0.4949724
3550,0.926666667,0.926666667,0.926666667,1.440324246,0.622412381,0.722873906
0,1.77E-34,1.54E-34,1.65E-34,-0.033581387,-0.024482023,-0.05639029
820,1.526666667,1.526666667,1.526666667,2.558424763,0.859683405,1.151980544
1350,0.926666667,0.926666667,0.926666667,1.475559168,0.601196118,0.703498099
76.9,3.260000007,3.259999974,3.259999981,5.806099488,1.26295053,2.660000833
736,1.64,1.64,1.64,2.768795624,0.909227421,1.223903153
1500,1.913333333,1.913333333,1.913333333,3.24641596,1.044638495,1.41898973
241,1.86,1.86,1.86,3.11073298,1.042825039,1.440533064
441,1.373333333,1.373333333,1.373333333,2.243919889,0.802456635,1.046769715
18.1,3.140000003,3.139999992,3.139999995,7.439843243,0.428231306,1.567478606
43.5,1.793333333,1.793333333,1.793333333,3.490691744,0.676122925,1.239221931
281,1.113333333,1.113333333,1.113333333,1.696539263,0.695309635,0.909519793
100,3.186666671,3.186666653,3.186666657,5.702465273,1.275965996,2.594850481
3260,1.04,1.04,1.04,1.63410127,0.667899401,0.80949577
528,0.476666667,0.476666667,0.476666667,0.588697779,0.384097064,0.371575889
3230,1.046666667,1.046666667,1.046666667,1.654932066,0.672874775,0.819175861
583,1.846666667,1.846666667,1.846666667,3.179212487,1.005497901,1.354662594
43,2.48,2.48,2.48,4.666189567,0.888515683,1.873872421
356,2.2,2.2,2.2,3.847647985,1.133765897,1.624400174
113,2.266666667,2.266666667,2.266666667,3.824343542,1.150977837,1.846013969
3410,0.98,0.98,0.98,1.532196552,0.643781402,0.763061715
18.7,3.913332987,3.91332417,3.913323823,8.990196077,0.482135657,2.25565298
524,2.66,2.66,2.66,4.811720497,1.227724478,1.946493444
1630,0.693333333,0.693333333,0.693333333,1.073864535,0.502349816,0.536830821
139,3.113333335,3.113333327,3.113333329,5.600886868,1.276942583,2.493777223
3130,1.093333333,1.093333333,1.093333333,1.726009309,0.689824732,0.851635564
479,2.706666667,2.706666666,2.706666666,4.903273125,1.233332569,1.97772985
21.2,2.62,2.62,2.62,6.38163868,0.403881638,1.074194016
0.034,0.000243283,-0.000343305,-0.000204023,-0.030391845,-0.0243997,-0.050403988
44.1,3.126666667,3.126666662,3.126666663,5.919679067,1.000600294,2.414937989
428,2.76,2.76,2.76,5.008762017,1.239449903,2.015641618
541,0.473333333,0.473333333,0.473333333,0.551513801,0.374416871,0.355807825
0.0809,0.000774841,-0.000544983,-0.000271475,-0.022456168,-0.030085335,-0.01111874
2440,1.4,1.4,1.4,2.285928216,0.822100122,1.082788519
2760,1.246666667,1.246666667,1.246666667,2.011162791,0.757427241,0.974027379
3830,0.826666667,0.826666667,0.826666667,1.265960884,0.582979626,0.651624287
424,0.642666667,0.642666667,0.642666667,0.962214091,0.485656502,0.542881584
233,1.886666667,1.886666667,1.886666667,3.147752483,1.051542624,1.460898125
8.38,2.386667472,2.38666547,2.386666275,6.037745138,0.135110657,0.914799853
265,1.173333333,1.173333333,1.173333333,1.794600366,0.723809729,0.959984233
619,2.566666667,2.566666666,2.566666667,4.624053309,1.21506498,1.882551659
451,1.346666667,1.346666667,1.346666667,2.203316205,0.791460087,1.029442835
1910,0.566666667,0.566666667,0.566666667,0.789967151,0.429576712,0.450682068
727,0.78,0.78,0.78,1.208116985,0.537436366,0.622184881
4830,0.598666667,0.598666667,0.598666667,0.817170882,0.478124272,0.496491965
2510,1.366666667,1.366666667,1.366666667,2.223592489,0.807461071,1.05876648
326,0.953333333,0.953333333,0.953333333,1.437897414,0.620593918,0.777776544
806,0.654666667,0.654666667,0.654666667,0.998421747,0.482306673,0.530827285
240,2.4,2.4,2.4,4.214813261,1.182389576,1.824111749
4.98,1.473549747,1.472597762,1.472814176,3.681755534,0.041810082,0.735194103
372,2.82,2.819999999,2.82,5.124482531,1.24629529,2.072092749
2480,1.38,1.38,1.38,2.250154832,0.813701222,1.069045831
3300,1.02,1.02,1.02,1.606575679,0.661344268,0.796771906
261,1.186666667,1.186666667,1.186666667,1.819615606,0.731093319,0.97289726
853,2.36,2.36,2.36,4.194275815,1.179135002,1.736639846
1720,1.773333333,1.773333333,1.773333333,2.999602743,0.988660013,1.337365573
129,3.133333336,3.133333326,3.133333328,5.621639783,1.278196631,2.518639583
141,0.61,0.61,0.61,0.913538256,0.458426245,0.50388791
488,1.986666667,1.986666667,1.986666667,3.450888658,1.064502998,1.448071758
505,0.492666667,0.492666667,0.492666667,0.659659443,0.402864716,0.402546331
2470,1.386666667,1.386666667,1.386666667,2.259059936,0.815792515,1.072477551
769,0.706666667,0.706666667,0.706666667,1.091636636,0.507152785,0.572217965
441,2.746666667,2.746666666,2.746666666,4.981830713,1.237889643,2.005025364
895,1.433333333,1.433333333,1.433333333,2.379552387,0.817430603,1.087684194
158,2.566666667,2.566666666,2.566666667,4.484800969,1.209851413,1.990546602
1270,1,1,1,1.611965292,0.634226874,0.765906438
1800,0.598666667,0.598666667,0.598666667,0.887449742,0.455056651,0.474923565
910,2.313333333,2.313333333,2.313333333,4.096583625,1.169359927,1.703593677
2390,1.42,1.42,1.42,2.331218577,0.832725224,1.100026162
1180,1.1,1.1,1.1,1.776916428,0.673930606,0.842672045
1860,1.693333333,1.693333333,1.693333333,2.85048183,0.953991145,1.286794772
758,2.44,2.44,2.44,4.363187622,1.194536295,1.793890108
77.9,2.053333333,2.053333333,2.053333333,3.364882378,1.105732233,1.699476624
246,1.246666667,1.246666667,1.246666667,1.915203876,0.758971672,1.022378884
3440,0.966666667,0.966666667,0.966666667,1.51224638,0.639109576,0.754193955
520,1.94,1.94,1.94,3.358079072,1.045478433,1.413490139
10,2.720000267,2.719999593,2.71999986,6.884344144,0.188464588,1.05439944
1050,2.206666667,2.206666667,2.206666667,3.868272475,1.143650146,1.626578622
4.37,0.880002829,0.879996514,0.879999343,2.31810946,0.020100656,0.323189211
181,0.465333333,0.465333333,0.465333333,0.614156116,0.317300509,0.34874067
2230,1.506666667,1.506666667,1.506666667,2.480430851,0.867669918,1.155629254
288,2.92,2.919999999,2.919999999,5.297176869,1.256941578,2.189394237
781,1.58,1.58,1.58,2.654778491,0.882394157,1.185384919
3150,1.086666667,1.086666667,1.086666667,1.711589903,0.686389771,0.845122546
2170,1.533333333,1.533333333,1.533333333,2.538068107,0.88114518,1.176654306
125,1.76,1.76,1.76,2.81314817,1.01461767,1.483868997
1130,2.153333333,2.153333333,2.153333333,3.745233492,1.127873471,1.585218935
3460,0.96,0.96,0.96,1.499026038,0.636023131,0.748359717
3160,1.08,1.08,1.08,1.704418442,0.684680722,0.841869989
4530,0.644,0.644,0.644,0.90448419,0.503678579,0.526735235
4450,0.660666667,0.660666667,0.660666667,0.935694348,0.511347489,0.537159208
44.3,2.793333333,2.793333333,2.793333333,5.250483907,0.985784448,2.133829904
119,2.666666667,2.666666666,2.666666666,4.643816603,1.22348101,2.09817237
330,0.933333333,0.933333333,0.933333333,1.416131938,0.614341008,0.766793482
679,1.713333333,1.713333333,1.713333333,2.91758514,0.944182993,1.272654042
1190,1.086666667,1.086666667,1.086666667,1.757987518,0.669386054,0.834055402
4110,0.74,0.74,0.74,1.104105853,0.54795392,0.592542667
1380,0.9,0.9,0.9,1.426886022,0.58935832,0.681789558
1560,1.873333333,1.873333333,1.873333333,3.176410319,1.029549875,1.395916712
206,2.466666667,2.466666667,2.466666667,4.325709998,1.194470774,1.890582311
26.5,3.206666665,3.206666664,3.206666663,6.906798701,0.647489772,2.045100962
416,0.666666667,0.666666667,0.666666667,0.996545709,0.495244707,0.559384424
66.7,2.526666667,2.526666667,2.526666667,4.341477669,1.167959028,2.034530088
366,2.18,2.18,2.18,3.816805993,1.129037943,1.609143925
800,1.553333333,1.553333333,1.553333333,2.607551453,0.871266757,1.169113533
624,2.56,2.56,2.56,4.614387012,1.214367856,1.879261555
0.00277,1.22E-05,-3.57E-05,-2.41E-05,-0.042453915,-0.047080687,-0.047482891
668,0.886666667,0.886666667,0.886666667,1.390904991,0.583712984,0.697733676
458,2.726666667,2.726666666,2.726666666,4.946582367,1.235864205,1.992515441
4300,0.693333333,0.693333333,0.693333333,1.003209051,0.526696359,0.559381429
68.8,2.133333333,2.133333333,2.133333333,3.559671092,1.085817484,1.743748761
4220,0.713333333,0.713333333,0.713333333,1.044014577,0.535399576,0.572661158
493,1.98,1.98,1.98,3.436300354,1.061587866,1.442458352
236,2.986666667,2.986666665,2.986666665,5.403549821,1.263759577,2.281628705
2660,1.293333333,1.293333333,1.293333333,2.094222564,0.77701918,1.007725414
2.16,0.380498182,0.359066903,0.359565084,0.969822914,-0.012772949,0.302126851
4740,0.61,0.61,0.61,0.838436818,0.485259357,0.504098268
103,2.72,2.719999999,2.72,4.742684882,1.23178835,2.169030215
122,2.66,2.66,2.66,4.627640353,1.222116406,2.086756542
1.32,0.096202949,0.093244734,0.09411435,0.288854693,-0.026552655,0.109809887
1310,0.966666667,0.966666667,0.966666667,1.542560217,0.617445443,0.733880651
1.6,0.218713708,0.197660261,0.199707303,0.546185554,-0.025407007,0.206113593
1330,0.946666667,0.946666667,0.946666667,1.508759189,0.609254268,0.718483971
50.3,2.353333333,2.353333333,2.353333333,4.209467253,0.965465383,1.836363825
1390,0.886666667,0.886666667,0.886666667,1.410962144,0.5854789,0.674758782
1830,0.589333333,0.589333333,0.589333333,0.859060562,0.447708497,0.467079822
451,0.578666667,0.578666667,0.578666667,0.852250703,0.455169373,0.490691841
2460,1.386666667,1.386666667,1.386666667,2.267990534,0.81788943,1.075911906
3050,1.12,1.12,1.12,1.784706726,0.703789428,0.877793029
411,0.68,0.68,0.68,1.018409191,0.501366169,0.569939944
388,2.806666667,2.806666666,2.806666666,5.091467768,1.244318882,2.054188356
292,2.92,2.919999999,2.919999999,5.288977449,1.25642432,2.182920702
6.2,1.973420577,1.973107672,1.973194915,4.898114205,0.07470519,0.902942071
1270,1.006666667,1.006666667,1.006666667,1.611965292,0.634226874,0.765906438
206,1.96,1.96,1.96,3.274174256,1.079037031,1.534529929
1020,2.233333333,2.233333333,2.233333333,3.915804193,1.149362892,1.642585176
575,2.606666667,2.606666666,2.606666667,4.71002622,1.221066711,1.911829065
38.6,3.573333389,3.573333072,3.573333128,6.985291814,0.955521011,2.761092325
301,1.04,1.04,1.04,1.578462556,0.661111612,0.849111502
248,2.386666667,2.386666667,2.386666667,4.188935961,1.179403939,1.808994354
16.7,3.893333189,3.89331566,3.893315515,9.101481212,0.416979675,2.136142634
491,0.508666667,0.508666667,0.508666667,0.706090764,0.415315221,0.423320447
15.9,3.146666677,3.146666647,3.146666657,7.613344998,0.367561269,1.458610049
213,1.373333333,1.373333333,1.373333333,2.135397352,0.823443657,1.137117425
129,0.693333333,0.693333333,0.693333333,1.06217921,0.495999122,0.568419722
0.34,0.011177348,0.005693809,0.006737823,0.014999861,-0.023429711,0.003112719
199,1.98,1.98,1.98,3.307323252,1.085679781,1.55485366
3850,0.82,0.82,0.82,1.253984993,0.580331637,0.647000641
812,0.646,0.646,0.646,0.984135404,0.478439301,0.524347226
3190,1.066666667,1.066666667,1.066666667,1.683057026,0.679587303,0.832128125
1240,2.08,2.08,2.08,3.584871524,1.104891666,1.531494953
28.9,2.286666667,2.286666667,2.286666667,5.140263422,0.538747743,1.203740338
331,2.873333334,2.873333333,2.873333333,5.208906704,1.251434993,2.124456102
1360,1.993333333,1.993333333,1.993333333,3.42157421,1.078118546,1.477040954
313,2.893333334,2.893333332,2.893333333,5.245890925,1.253725603,2.150391109
1370,1.993333333,1.993333333,1.993333333,3.408514504,1.075807283,1.47269878
840,1.5,1.5,1.5,2.509899079,0.84823308,1.134842206
121,0.766666667,0.766666667,0.766666667,1.176356849,0.519825951,0.616053145
616,0.993333333,0.993333333,0.993333333,1.570565844,0.628117331,0.769508116
976,2.266666667,2.266666667,2.266666667,3.986890918,1.157540792,1.666551506
542,2.64,2.64,2.64,4.775577821,1.225411309,1.934169556
365,2.833333334,2.833333333,2.833333333,5.138914354,1.247165146,2.08037257
4510,0.648,0.648,0.648,0.911973837,0.505562079,0.529248106
351,0.866666667,0.866666667,0.866666667,1.305144204,0.582553819,0.711080925
1130,1.153333333,1.153333333,1.153333333,1.873814754,0.697152217,0.885735197
281,2.926666667,2.926666665,2.926666666,5.311520048,1.257849255,2.200936537
1960,1.646666667,1.646666667,1.646666667,2.747026261,0.929902217,1.250988942
1730,0.633333333,0.633333333,0.633333333,0.958949969,0.473366325,0.496820211
218,1.926666667,1.926666667,1.926666667,3.217704715,1.067184426,1.500871402
5.26,1.702388647,1.688730456,1.691119103,4.157721997,0.062586134,0.839121047
49.4,3.053333334,3.05333333,3.053333331,5.639716247,1.07044545,2.412344738
1820,1.72,1.72,1.72,2.89257791,0.963784111,1.301190878
1560,0.746666667,0.746666667,0.746666667,1.163244701,0.52461703,0.570949029
