y_plus,uu_yhat,vv_yhat,ww_yhat,uu_y,vv_y,ww_y
2.02e-14,4.466992950143824e-34,-1.601890473143374e-34,1.5948975229995504e-34,-0.05345212176436246,-0.04323927130162306,0.0097944057545283
0.0105,1.6428199366695424e-5,-3.7458348204280484e-6,7.077635453732623e-6,-0.05229014403478235,-0.04311488988067921,0.010608260452106192
0.039,0.00010887973772632283,6.401896188903036e-5,9.710130038464678e-5,-0.04901002330314553,-0.0427766079261761,0.012815817157781122
0.0927,0.0004761327973561532,0.0004928089850592085,0.0005490582175846381,-0.04232847742660953,-0.04213653189966282,0.016969451196427232
0.179,0.0017128138443052185,0.0018611660076072285,0.0020460201480875526,-0.03021913420832477,-0.04110054099386378,0.023628598096911955
0.305,0.004878219024168163,0.0054419328148469425,0.005919848160984894,-0.009502486136367675,-0.039571719656266824,0.03331554943443952
0.478,0.01202792935803156,0.013293969896477744,0.014278100745490695,0.024814021728724545,-0.03744119934189556,0.04654712870440172
0.706,0.027501428545701655,0.02806232984382099,0.02963624161047735,0.08041961293806779,-0.03457780311902552,0.06386374775473644
0.986,0.12201856892239496,-0.013646089341956331,0.05522752041956135,0.16485473937228337,-0.030974940271841243,0.08494069708215987
1.32,0.33491218081767515,-0.09370607947168633,0.0447938986540112,0.2888546932155464,-0.02655265513348653,0.1098098871325672
1.7,0.47517707814521626,-0.059056829248781834,0.05187975110356559,0.46073363457161026,-0.02135648482014158,0.13774352015161506
2.13,0.6420899512726568,-0.020976777139670083,0.10288682586701325,0.6947684015121541,-0.015265014301076164,0.1688896496346058
2.61,0.9300797978858193,-0.021433972494379783,0.15335417460856046,1.0056035034468258,-0.008199875581644546,0.2030768009278804
3.15,1.3749671880897831,-0.07658169997993913,0.19561451189015577,1.3919548397073729,8.301858973828839e-5,0.240805189239517
3.73,1.840013763209293,-0.0955802614781538,0.27556649826886076,1.823045833286071,0.009374094968387077,0.2804647851132973
4.37,2.2914874032968946,-0.05905836500877182,0.40757096171187746,2.318109460266696,0.02010065617325865,0.3231892109056616
5.05,2.971701163598082,-0.1487203195550426,0.4970191559569602,2.8663901879177107,0.03204292289524876,0.36739076874319365
5.79,3.4531728182458385,-0.06766913604164082,0.6744963177958009,3.489126195551405,0.04567728406313888,0.4140956767031425
6.57,4.34045730031601,-0.26044748741267254,0.7199901870966617,4.174946492019569,0.06076889427273007,0.46174920258194285
7.41,5.164926822660254,-0.42031796703246016,0.7753911443722055,4.8799345595840276,0.0778480887933041,0.5112595260906042
8.29,5.607143224880037,-0.34180718483752015,0.9346639599574817,5.511564060095418,0.09666009609489165,0.5611155147824602
9.22,5.914098839477869,-0.21576284717701721,1.1016640076991484,6.060163586954074,0.11756357865225751,0.6115666852634181
10.2,6.586096115642446,-0.39491796681258506,1.1088218511701373,6.506022972184096,0.14072803003521678,0.6622421737476569
11.2,6.89430411004581,-0.3931546758011719,1.1788505657553616,6.82110291709948,0.16556808291618771,0.7113199193298982
12.3,7.381791475768054,-0.5580162890283673,1.156224813260313,7.00449914315765,0.19429547494286553,0.7622348468350755
13.4,7.1769247172369415,-0.317850695171936,1.3009259779349935,7.080174523320923,0.22331812411007945,0.8102127453448577
14.6,7.163827602774214,-0.25310454614444255,1.3492769433702272,7.112001431125943,0.2539759644431616,0.8595216921581382
15.8,7.547037405358519,-0.4920711890456686,1.2450337836871506,7.090894719063387,0.2835869545302995,0.9056682958405439
17.1,7.536946874751526,-0.5076966663424312,1.2307497915909043,7.008294994686722,0.314484185701324,0.9520918334494894
18.4,7.009419655194423,-0.20416841924942686,1.3547487640550027,6.863571785882138,0.34415282179203893,0.9948040100228945
19.8,6.300699877802577,0.20047967607964656,1.5188204461177757,6.638240646477929,0.3747296697111608,1.0366511632811348
21.2,5.57791548101341,0.6035163776851515,1.6785681413014384,6.381638680134957,0.40388163812885824,1.0741940161667956
22.6,4.962915222054516,0.9218685653555063,1.7952162125899758,6.13454359806755,0.43160872704513165,1.107432568679877
24.1,4.414081769804207,1.183904723686946,1.8820135065088455,5.880348598556222,0.4597351422535888,1.1382688477447291
25.7,3.974195005443037,1.3716708346291169,1.9341341599278468,5.621236384623424,0.48793374305237225,1.1657146211329543
27.3,3.5751868279244166,1.5203586302928498,1.9644545417827328,5.3745413256627925,0.5142712767472547,1.1875384511774019
28.9,3.247805470189628,1.6314286822000716,1.9807658476103,5.140263421674325,0.5387477433382359,1.2037403378780724
30.6,2.9657605257339945,1.7003802491017077,1.9738592251642963,4.9037908181814025,0.5627148120495746,1.2167925735254865
32.3,2.7261467607549603,1.7516168662110223,1.9622363730340169,4.6790203265202,0.5845809104756498,1.2274935860315672
34.1,2.5444876348473313,1.7745556186225464,1.9409567465301218,4.4537829382110745,0.6054432650726087,1.2362613179946838
35.9,2.391117892346891,1.7669971095671992,1.9018849980859085,4.241664872509137,0.6239502066161926,1.2423930766090394
37.7,2.263380224103866,1.7531759846855137,1.8634437912106205,4.042666129414386,0.6401017351064019,1.2458888618746333
39.6,2.1589655626148385,1.7346663911229243,1.8263680462622365,3.84684474595149,0.6545952383637793,1.2467191517781628
41.5,2.0615829894248243,1.7001512628443163,1.7782657477308597,3.6656408793441315,0.6664643462129212,1.2446124466850785
43.5,1.9782748171942903,1.6672527232341452,1.7344724595715644,3.490691744338214,0.6761229245327607,1.239221931493801
45.5,1.9069554095806462,1.6373926126616225,1.6956519777577308,3.3319393039090706,0.682873585502755,1.230577128217633
47.5,1.8415228141717055,1.6035192786548016,1.6549579071734921,3.189383558056701,0.6867163291229036,1.218678036856574
49.6,1.7807651201772396,1.5664589154277149,1.6127759643950454,3.057131717449966,0.6876215638762886,1.2026815633760994
51.7,1.7230680394494398,1.5273120346259663,1.569619925924594,2.9427367326141236,0.6853208197514692,1.1830972372820328
53.9,1.6736147254647442,1.4937566624223375,1.5326286121129182,2.834720356176363,0.6811942360268637,1.160840492375714
56.0,1.6257370622616596,1.4591271192221869,1.4951358185161534,2.736226573196053,0.677186271496666,1.1398557195949124
58.3,1.579783224972607,1.4231860415606068,1.457030733466786,2.633521988362474,0.6727193200603895,1.1171641196448774
60.5,1.5360967440636026,1.3856992334207576,1.4182040225156394,2.5403399969863476,0.6683709878185202,1.0957444918203585
62.8,1.4987898524651126,1.355074802761747,1.3861353447731404,2.44820950894257,0.6637459718399789,1.0736495972282176
65.2,1.4566505730308366,1.3165332175583737,1.3468162094107896,2.3578354640171284,0.6588337344886145,1.0509192162256475
67.5,1.4206867164021368,1.284993196650403,1.3143200869474598,2.2767490326204762,0.6540436288770413,1.0294475472295292
69.9,1.3846330214027467,1.253514421707461,1.2818525568897923,2.197899220718123,0.648959124082513,1.0073674885880262
72.3,1.3501897086505459,1.2209377960853582,1.2488724952640955,2.124934123550963,0.6437866529340286,0.985619509450047
74.8,1.3157178705444705,1.1883806175756677,1.2159015118798617,2.0551864316673,0.6383051215435969,0.9633184872506037
77.3,1.2809882039449572,1.1559992099503977,1.1830125861046448,1.991824063932068,0.6327281405503482,0.9413777943735601
79.8,1.2534865210237174,1.1299018010482156,1.1566116779280669,1.934847020345266,0.6270557099542826,0.9197974308189164
82.3,1.2203792328591718,1.0964143649352467,1.123206402205581,1.881527550647287,0.6212878297554001,0.8985773965866721
84.9,1.1873184399211345,1.0628952314754643,1.089786328603401,1.8270616590672613,0.615187981409894,0.8768907983303402
