y_plus,uu_yhat,vv_yhat,ww_yhat,uu_y,vv_y,ww_y
2.02e-14,1.0633989458880732e-33,-5.082044142022775e-34,-1.0919453168579567e-34,-0.05345212176436246,-0.04323927130162306,0.0097944057545283
0.0105,4.710458874868829e-5,-2.2509039738444358e-5,-4.835549010243931e-6,-0.05229014403478235,-0.04311488988067921,0.010608260452106192
0.039,0.0006434542977657321,-0.0003074251807220938,-6.602911704363829e-5,-0.04901002330314553,-0.0427766079261761,0.012815817157781122
0.0927,0.003618633450420703,-0.0017291245680752655,-0.0003715088823454375,-0.04232847742660953,-0.04213653189966282,0.016969451196427232
0.179,0.013403056770142856,-0.006406746480454846,-0.0013763102896880122,-0.03021913420832477,-0.04110054099386378,0.023628598096911955
0.305,0.03822186100391216,-0.018156391136251733,-0.0038254698676604285,-0.009502486136367675,-0.039571719656266824,0.03331554943443952
0.478,0.08435495513044443,-0.03796060470003651,-0.006794350430407915,0.024814021728724545,-0.03744119934189556,0.04654712870440172
0.706,0.13036297362097105,-0.045040555740791646,-0.00012241788017939778,0.08041961293806779,-0.03457780311902552,0.06386374775473644
0.986,0.18079354116864516,-0.03740728083309278,0.02021373966444761,0.16485473937228337,-0.030974940271841243,0.08494069708215987
1.32,0.1825304442609821,0.03120085246636116,0.07226870327265669,0.2888546932155464,-0.02655265513348653,0.1098098871325672
1.7,0.18996438854957987,0.13088793206054483,0.1471476793898753,0.46073363457161026,-0.02135648482014158,0.13774352015161506
2.13,0.2555726449972147,0.23077469755506488,0.23765265744772032,0.6947684015121541,-0.015265014301076164,0.1688896496346058
2.61,0.36032252533359205,0.3493064486659617,0.3523710260004462,1.0056035034468258,-0.008199875581644546,0.2030768009278804
3.15,0.5009537970641229,0.4958059255942241,0.49724027734165294,1.3919548397073729,8.301858973828839e-5,0.240805189239517
3.73,0.6747872507450942,0.6722529749512621,0.6729597743036437,1.823045833286071,0.009374094968387077,0.2804647851132973
4.37,0.8807529740332205,0.8794403492283056,0.8798066767384739,2.318109460266696,0.02010065617325865,0.3231892109056616
5.05,1.107077190185547,1.1063614913452544,1.106561318469198,2.8663901879177107,0.03204292289524876,0.36739076874319365
5.79,1.353561432724187,1.353163748549492,1.3532748187263202,3.489126195551405,0.04567728406313888,0.4140956767031425
6.57,1.6001334677652899,1.5999007578953224,1.5999657743393874,4.174946492019569,0.06076889427273007,0.46174920258194285
7.41,1.8400801427109432,1.8399404013262222,1.8399794559628342,4.8799345595840276,0.0778480887933041,0.5112595260906042
8.29,2.066714422059836,2.06663115005612,2.066654427884043,5.511564060095418,0.09666009609489165,0.5611155147824602
